Order_ID,Order_Date,Location,Customer_Type,Category,Product,Quantity,Unit_Price,Discount_Percent,Discount_Amount,Net_Sales,Cost,Profit,Payment_Method
1,2025-09-28 00:00:00,Mangaluru,Online,Home,Wall Clock,3,1194,0,0,3582,2026.27,1555.73,Cash
2,2025-10-21 00:00:00,Hubballi,Retail,Electronics,USB Cable,2,1565,0,0,3130,2164.97,965.03,UPI
3,2025-07-07 00:00:00,Mysuru,Retail,Home,Storage Box,7,1107,0,0,7749,5501.42,2247.58,Card
4,2025-06-16 00:00:00,Davanagere,Online,Stationery,Notebook,2,63,0,0,126,69.84,56.16,Net Banking
5,2025-09-21 00:00:00,Davanagere,Wholesale,Electronics,Power Bank,7,384,0.05,134.4,2553.6,1619.4,934.2,UPI
6,2025-02-13 00:00:00,Hubballi,Retail,Fitness,Skipping Rope,2,2136,0.1,427.2,3844.8,2206.5,1638.3,Cash
7,2025-12-04 00:00:00,Mangaluru,Online,Home,Wall Clock,7,941,0.05,329.35,6257.65,3908.03,2349.62,UPI
8,2025-12-10 00:00:00,Mysuru,Online,Electronics,Wireless Mouse,1,2377,0.1,237.7,2139.3,1584.9,554.4,UPI
9,2025-08-19 00:00:00,Mangaluru,Online,Stationery,Pen Set,2,184,0.05,18.4,349.6,223.51,126.09,Net Banking
10,2025-02-04 00:00:00,Mysuru,Retail,Stationery,Marker Set,1,54,0,0,54,33.43,20.57,Card
11,2025-06-28 00:00:00,Mangaluru,Online,Home,Storage Box,7,892,0.05,312.2,5931.8,4376.42,1555.38,Card
12,2025-01-29 00:00:00,Bengaluru,Retail,Home,Water Bottle,4,1416,0.1,566.4,5097.6,3915.94,1181.66,Cash
13,2025-02-13 00:00:00,Bengaluru,Retail,Home,Bedsheet,4,1504,0,0,6016,3887.54,2128.46,UPI
14,2025-04-26 00:00:00,Mangaluru,Retail,Stationery,Notebook,5,408,0,0,2040,1351.91,688.09,Card
15,2025-06-09 00:00:00,Mysuru,Retail,Electronics,Headphones,1,1486,0,0,1486,1096.67,389.33,UPI
16,2025-07-06 00:00:00,Bengaluru,Online,Electronics,Wireless Mouse,1,351,0,0,351,225.75,125.25,Cash
17,2025-08-06 00:00:00,Mangaluru,Wholesale,Electronics,USB Cable,6,1789,0,0,10734,6605.52,4128.48,Cash
18,2025-07-20 00:00:00,Hubballi,Online,Home,Table Lamp,4,1499,0.1,599.6,5396.4,3442.95,1953.45,Cash
19,2025-05-28 00:00:00,Hubballi,Retail,Home,Water Bottle,7,638,0.1,446.6,4019.4,2359.91,1659.49,UPI
20,2025-04-09 00:00:00,Davanagere,Retail,Electronics,Keyboard,7,2137,0.05,747.95,14211.05,9848.34,4362.71,Net Banking
21,2025-02-06 00:00:00,Bengaluru,Online,Fitness,Gym Gloves,3,1932,0.05,289.8,5506.2,4362.12,1144.08,UPI
22,2025-09-11 00:00:00,Davanagere,Wholesale,Electronics,USB Cable,3,1846,0,0,5538,3502.5,2035.5,Card
23,2025-06-10 00:00:00,Bengaluru,Online,Stationery,Notebook,4,553,0.05,110.6,2101.4,1564.82,536.58,Card
24,2025-02-20 00:00:00,Bengaluru,Retail,Stationery,Desk Organizer,6,76,0,0,456,330.23,125.77,Net Banking
25,2025-01-04 00:00:00,Mangaluru,Wholesale,Stationery,Marker Set,3,561,0.15,252.45,1430.55,968.32,462.23,Card
26,2025-10-07 00:00:00,Mangaluru,Retail,Stationery,Desk Organizer,5,656,0.15,492,2788,1590.12,1197.88,Net Banking
27,2025-05-08 00:00:00,Davanagere,Online,Fitness,Dumbbells,2,1596,0.05,159.6,3032.4,1747.38,1285.02,Card
28,2025-09-30 00:00:00,Davanagere,Retail,Electronics,Keyboard,1,595,0,0,595,394.69,200.31,Net Banking
29,2025-11-09 00:00:00,Hubballi,Online,Fitness,Skipping Rope,4,2049,0.05,409.8,7786.2,5955.38,1830.82,Card
30,2025-11-18 00:00:00,Davanagere,Wholesale,Electronics,Keyboard,7,2332,0,0,16324,13305.64,3018.36,Cash
31,2025-11-22 00:00:00,Hubballi,Retail,Electronics,Keyboard,7,1427,0,0,9989,7570.65,2418.35,Card
32,2025-12-16 00:00:00,Mysuru,Wholesale,Electronics,Power Bank,7,618,0,0,4326,3308.09,1017.91,Card
33,2025-04-27 00:00:00,Bengaluru,Retail,Electronics,Keyboard,6,1500,0.1,900,8100,5422.42,2677.58,UPI
34,2025-07-11 00:00:00,Bengaluru,Retail,Stationery,Desk Organizer,7,296,0.05,103.6,1968.4,1166.94,801.46,Cash
35,2025-04-04 00:00:00,Mangaluru,Online,Electronics,Wireless Mouse,6,1307,0,0,7842,5929.4,1912.6,Net Banking
36,2025-01-23 00:00:00,Bengaluru,Retail,Electronics,Power Bank,2,2131,0,0,4262,3418.24,843.76,UPI
37,2025-06-09 00:00:00,Mangaluru,Online,Electronics,Keyboard,3,1201,0,0,3603,2512.43,1090.57,UPI
38,2025-02-12 00:00:00,Davanagere,Online,Fitness,Skipping Rope,4,1880,0,0,7520,4215.11,3304.89,Card
39,2025-03-31 00:00:00,Mangaluru,Online,Electronics,Power Bank,6,767,0,0,4602,3396.82,1205.18,UPI
40,2025-10-04 00:00:00,Hubballi,Wholesale,Electronics,Wireless Mouse,5,1025,0.1,512.5,4612.5,3770.43,842.07,UPI
41,2025-09-25 00:00:00,Hubballi,Retail,Fitness,Gym Gloves,1,1116,0,0,1116,885.76,230.24,Cash
42,2025-06-26 00:00:00,Hubballi,Online,Electronics,Headphones,4,745,0,0,2980,1895.92,1084.08,Cash
43,2025-03-10 00:00:00,Mangaluru,Retail,Stationery,Desk Organizer,3,518,0.1,155.4,1398.6,1064.26,334.34,Cash
44,2025-05-13 00:00:00,Davanagere,Wholesale,Fitness,Skipping Rope,3,2116,0,0,6348,3736.48,2611.52,Net Banking
45,2025-06-17 00:00:00,Mysuru,Retail,Fitness,Gym Gloves,2,1467,0,0,2934,1680.91,1253.09,UPI
46,2025-11-23 00:00:00,Mysuru,Wholesale,Fitness,Yoga Mat,1,1525,0,0,1525,1158.74,366.26,Cash
47,2025-06-22 00:00:00,Bengaluru,Online,Home,Water Bottle,5,1393,0.05,348.25,6616.75,5009.82,1606.93,UPI
48,2025-07-09 00:00:00,Davanagere,Retail,Stationery,File Folder,1,418,0.1,41.8,376.2,229.62,146.58,Net Banking
49,2025-03-21 00:00:00,Davanagere,Online,Stationery,Desk Organizer,6,278,0.05,83.4,1584.6,1286.24,298.36,UPI
50,2025-02-23 00:00:00,Hubballi,Retail,Electronics,Wireless Mouse,6,820,0.15,738,4182,3305.33,876.67,Net Banking
51,2025-03-31 00:00:00,Bengaluru,Retail,Electronics,USB Cable,2,889,0.15,266.7,1511.3,1116.1,395.2,UPI
52,2025-08-08 00:00:00,Bengaluru,Wholesale,Home,Wall Clock,5,1720,0.1,860,7740,5773.61,1966.39,Cash
53,2025-09-08 00:00:00,Mysuru,Retail,Fitness,Skipping Rope,5,1338,0,0,6690,5459.22,1230.78,Cash
54,2025-10-10 00:00:00,Hubballi,Retail,Home,Water Bottle,1,1783,0,0,1783,987.23,795.77,UPI
55,2025-01-23 00:00:00,Bengaluru,Online,Fitness,Dumbbells,5,1418,0,0,7090,4292.02,2797.98,UPI
56,2025-10-15 00:00:00,Mysuru,Online,Stationery,Notebook,2,600,0,0,1200,814.29,385.71,Cash
57,2025-08-10 00:00:00,Mangaluru,Wholesale,Fitness,Resistance Band,3,1016,0,0,3048,2297.85,750.15,Cash
58,2025-08-14 00:00:00,Bengaluru,Wholesale,Fitness,Resistance Band,6,1108,0,0,6648,4960.25,1687.75,UPI
59,2025-01-30 00:00:00,Hubballi,Retail,Fitness,Resistance Band,7,433,0.1,303.1,2727.9,2066.68,661.22,Cash
60,2025-07-24 00:00:00,Hubballi,Retail,Stationery,Pen Set,6,232,0,0,1392,817.78,574.22,Card
61,2025-04-03 00:00:00,Davanagere,Retail,Fitness,Dumbbells,2,1676,0.1,335.2,3016.8,1940.32,1076.48,Cash
62,2025-05-13 00:00:00,Mysuru,Retail,Electronics,Wireless Mouse,1,873,0,0,873,557.96,315.04,Cash
63,2025-08-02 00:00:00,Hubballi,Retail,Fitness,Yoga Mat,7,1080,0,0,7560,4163.3,3396.7,Net Banking
64,2025-06-29 00:00:00,Davanagere,Retail,Stationery,Desk Organizer,7,105,0,0,735,555.06,179.94,Cash
65,2025-01-07 00:00:00,Mysuru,Online,Electronics,Headphones,3,1996,0,0,5988,4695.48,1292.52,Card
66,2025-01-28 00:00:00,Bengaluru,Retail,Electronics,Power Bank,2,1412,0,0,2824,1644.52,1179.48,Net Banking
67,2025-03-08 00:00:00,Bengaluru,Online,Home,Storage Box,1,260,0.05,13,247,173.05,73.95,Cash
68,2025-10-09 00:00:00,Hubballi,Wholesale,Electronics,USB Cable,2,2325,0,0,4650,2840.41,1809.59,Card
69,2025-09-04 00:00:00,Davanagere,Online,Electronics,Wireless Mouse,3,592,0.15,266.4,1509.6,875.95,633.65,Net Banking
70,2025-04-04 00:00:00,Mysuru,Retail,Electronics,Wireless Mouse,6,1296,0.05,388.8,7387.2,5203.07,2184.13,Net Banking
71,2025-04-28 00:00:00,Davanagere,Wholesale,Electronics,Keyboard,4,2160,0,0,8640,5019.89,3620.11,Net Banking
72,2025-12-22 00:00:00,Mangaluru,Wholesale,Electronics,Headphones,5,2376,0,0,11880,9709.4,2170.6,Net Banking
73,2025-11-25 00:00:00,Hubballi,Wholesale,Electronics,Power Bank,1,2344,0,0,2344,1877.48,466.52,Cash
74,2025-05-17 00:00:00,Mysuru,Retail,Fitness,Dumbbells,2,1593,0.05,159.3,3026.7,2352.64,674.06,UPI
75,2025-08-01 00:00:00,Mangaluru,Wholesale,Electronics,Headphones,5,2402,0,0,12010,7769.08,4240.92,UPI
76,2025-05-05 00:00:00,Davanagere,Wholesale,Stationery,Marker Set,6,624,0.05,187.2,3556.8,2297.51,1259.29,UPI
77,2025-02-08 00:00:00,Mangaluru,Retail,Fitness,Dumbbells,3,1452,0,0,4356,2559.6,1796.4,Net Banking
78,2025-06-06 00:00:00,Davanagere,Wholesale,Stationery,Marker Set,6,460,0,0,2760,1670.43,1089.57,UPI
79,2025-04-28 00:00:00,Mangaluru,Retail,Fitness,Yoga Mat,6,2150,0,0,12900,8478.75,4421.25,UPI
80,2025-06-22 00:00:00,Mysuru,Wholesale,Electronics,USB Cable,2,444,0,0,888,571.28,316.72,Cash
81,2025-10-29 00:00:00,Hubballi,Retail,Home,Storage Box,3,1142,0.1,342.6,3083.4,2471.88,611.52,Net Banking
82,2025-04-02 00:00:00,Mysuru,Online,Electronics,Keyboard,7,2278,0,0,15946,12388.75,3557.25,UPI
83,2025-12-12 00:00:00,Mangaluru,Online,Electronics,Power Bank,6,1555,0,0,9330,5704.33,3625.67,UPI
84,2025-11-09 00:00:00,Davanagere,Online,Stationery,Pen Set,5,293,0.1,146.5,1318.5,1053.74,264.76,Cash
85,2025-12-30 00:00:00,Bengaluru,Retail,Fitness,Dumbbells,3,1453,0,0,4359,3474.16,884.84,Card
86,2025-06-05 00:00:00,Hubballi,Online,Electronics,Keyboard,2,1842,0,0,3684,2438.62,1245.38,UPI
87,2025-08-12 00:00:00,Mangaluru,Retail,Electronics,Wireless Mouse,5,1339,0.05,334.75,6360.25,4098.13,2262.12,UPI
88,2025-01-18 00:00:00,Mysuru,Online,Home,Water Bottle,1,1348,0,0,1348,887.26,460.74,Net Banking
89,2025-02-24 00:00:00,Hubballi,Wholesale,Electronics,Power Bank,7,1149,0,0,8043,6162.57,1880.43,Card
90,2025-11-09 00:00:00,Mysuru,Retail,Stationery,Notebook,7,377,0,0,2639,1857.2,781.8,Net Banking
91,2025-10-18 00:00:00,Mangaluru,Wholesale,Electronics,Keyboard,6,1661,0,0,9966,7279,2687,Card
92,2025-01-07 00:00:00,Mangaluru,Wholesale,Home,Storage Box,2,300,0,0,600,471.98,128.02,Cash
93,2025-01-11 00:00:00,Bengaluru,Wholesale,Fitness,Gym Gloves,2,1392,0,0,2784,2000.36,783.64,UPI
94,2025-12-08 00:00:00,Bengaluru,Wholesale,Electronics,USB Cable,4,1653,0.15,991.8,5620.2,3805.93,1814.27,Card
95,2025-02-09 00:00:00,Hubballi,Wholesale,Home,Table Lamp,2,1454,0,0,2908,2254.95,653.05,Cash
96,2025-08-03 00:00:00,Davanagere,Retail,Fitness,Skipping Rope,5,377,0,0,1885,1330.17,554.83,UPI
97,2025-03-17 00:00:00,Mangaluru,Retail,Stationery,Pen Set,7,336,0.05,117.6,2234.4,1380.18,854.22,UPI
98,2025-07-09 00:00:00,Davanagere,Retail,Electronics,Power Bank,2,1949,0,0,3898,2778.69,1119.31,UPI
99,2025-06-13 00:00:00,Mangaluru,Retail,Fitness,Dumbbells,1,1583,0,0,1583,1154.31,428.69,Cash
100,2025-08-15 00:00:00,Bengaluru,Retail,Electronics,USB Cable,4,714,0,0,2856,1836.36,1019.64,UPI
101,2025-01-25 00:00:00,Davanagere,Online,Stationery,Pen Set,7,278,0.05,97.3,1848.7,1152.63,696.07,UPI
102,2025-11-01 00:00:00,Mysuru,Online,Electronics,Headphones,5,1390,0,0,6950,3985.2,2964.8,UPI
103,2025-07-17 00:00:00,Davanagere,Online,Fitness,Gym Gloves,1,2195,0,0,2195,1604.28,590.72,UPI
104,2025-03-27 00:00:00,Davanagere,Online,Electronics,Power Bank,2,740,0,0,1480,1183.39,296.61,Card
105,2025-04-13 00:00:00,Mysuru,Wholesale,Fitness,Resistance Band,1,437,0,0,437,344.77,92.23,Card
106,2025-01-04 00:00:00,Davanagere,Online,Home,Table Lamp,5,1570,0,0,7850,6175.59,1674.41,Card
107,2025-09-04 00:00:00,Mangaluru,Wholesale,Fitness,Dumbbells,5,2012,0,0,10060,5558.76,4501.24,UPI
108,2025-08-24 00:00:00,Hubballi,Retail,Home,Wall Clock,1,1613,0.05,80.65,1532.35,1015.64,516.71,UPI
109,2025-05-22 00:00:00,Bengaluru,Online,Electronics,Headphones,6,2383,0,0,14298,7932.9,6365.1,UPI
110,2025-05-20 00:00:00,Mysuru,Wholesale,Home,Bedsheet,3,210,0.15,94.5,535.5,422.37,113.13,UPI
